MINE_ID,SUBUNIT,EQUIPMENT_TYPE,FAILURE_CAUSE,LOST_HOURS,PARTS_WAIT_HOURS,INSPECTION_YEAR
SUR-03,Stope Production Face,Haulage LHD,Power Transmission Failure,30.8,70.6,2023
TITAN-01,Drift / Ramp,Mine Fan,Bearing Seizure,22.2,7.3,2025
SUR-03,Stope Production Face,Drill Jumbo,Power Transmission Failure,6.5,86.2,2025
SUR-03,Shaft / Hoistway,Mine Fan,Electrical Fault,44.1,0.4,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Power Transmission Failure,52.2,11.5,2024
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,8.5,46.0,2023
SUR-03,Pump Station,Haulage LHD,Electrical Fault,49.6,22.6,2024
ANDINA-02,Drift / Ramp,Haulage LHD,Bearing Seizure,54.5,199.1,2025
SUR-03,Stope Production Face,Mine Fan,Electrical Fault,23.1,1.5,2023
SUR-03,Drift / Ramp,Haulage LHD,Electrical Fault,29.6,315.4,2023
SUR-03,Underground Haulageway,Haulage LHD,Electrical Fault,15.6,46.9,2024
SUR-03,Stope Production Face,Mine Fan,Hydraulic Burst,11.9,39.3,2024
TITAN-01,Stope Production Face,Continuous Haulage,Hydraulic Burst,34.7,2.9,2024
SUR-03,Pump Station,Continuous Haulage,Hydraulic Burst,51.5,15.3,2023
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Bearing Seizure,29.5,124.1,2024
TITAN-01,Stope Production Face,Haulage LHD,Hydraulic Burst,21.2,21.0,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Hydraulic Burst,8.2,52.0,2023
ANDINA-02,Drift / Ramp,Haulage LHD,Electrical Fault,5.3,364.5,2024
ANDINA-02,Underground Haulageway,Slurry Pump,Hydraulic Burst,18.2,14.7,2025
ANDINA-02,Pump Station,Haulage LHD,Power Transmission Failure,5.2,41.2,2025
TITAN-01,Shaft / Hoistway,Haulage LHD,Hydraulic Burst,24.2,57.2,2024
TITAN-01,Stope Production Face,Continuous Haulage,Bearing Seizure,15.6,8.6,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Bearing Seizure,38.0,7.7,2023
ANDINA-02,Stope Production Face,Haulage LHD,Power Transmission Failure,12.8,29.2,2023
TITAN-01,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,25.6,23.4,2025
TITAN-01,Stope Production Face,Drill Jumbo,Bearing Seizure,22.5,60.1,2023
TITAN-01,Drift / Ramp,Continuous Haulage,Electrical Fault,4.1,3.5,2024
SUR-03,Stope Production Face,Continuous Haulage,Power Transmission Failure,5.8,171.9,2025
SUR-03,Stope Production Face,Continuous Haulage,Electrical Fault,12.2,0.7,2023
SUR-03,Underground Haulageway,Haulage LHD,Electrical Fault,55.3,44.1,2024
ANDINA-02,Stope Production Face,Haulage LHD,Hydraulic Burst,7.8,39.7,2024
SUR-03,Underground Haulageway,Drill Jumbo,Power Transmission Failure,33.8,6.9,2023
ANDINA-02,Pump Station,Slurry Pump,Hydraulic Burst,91.0,7.9,2025
ANDINA-02,Underground Haulageway,Slurry Pump,Hydraulic Burst,41.5,75.5,2024
SUR-03,Drift / Ramp,Slurry Pump,Electrical Fault,10.7,104.9,2024
ANDINA-02,Underground Haulageway,Drill Jumbo,Bearing Seizure,61.4,16.0,2024
SUR-03,Pump Station,Slurry Pump,Power Transmission Failure,6.3,27.7,2024
SUR-03,Drift / Ramp,Slurry Pump,Bearing Seizure,19.2,21.0,2025
TITAN-01,Shaft / Hoistway,Continuous Haulage,Electrical Fault,56.4,3.6,2023
SUR-03,Shaft / Hoistway,Haulage LHD,Electrical Fault,28.6,53.7,2023
TITAN-01,Underground Haulageway,Haulage LHD,Electrical Fault,16.8,83.7,2023
SUR-03,Underground Haulageway,Continuous Haulage,Electrical Fault,12.3,17.5,2024
SUR-03,Pump Station,Continuous Haulage,Electrical Fault,15.3,221.9,2025
TITAN-01,Pump Station,Continuous Haulage,Electrical Fault,21.1,3.8,2023
TITAN-01,Stope Production Face,Haulage LHD,Bearing Seizure,13.2,52.0,2025
SUR-03,Pump Station,Slurry Pump,Hydraulic Burst,87.3,28.5,2023
ANDINA-02,Stope Production Face,Continuous Haulage,Bearing Seizure,68.9,28.4,2024
TITAN-01,Drift / Ramp,Drill Jumbo,Power Transmission Failure,53.1,29.4,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Bearing Seizure,17.1,14.4,2024
ANDINA-02,Drift / Ramp,Mine Fan,Electrical Fault,32.2,60.3,2024
ANDINA-02,Pump Station,Continuous Haulage,Bearing Seizure,60.0,61.4,2023
TITAN-01,Drift / Ramp,Haulage LHD,Hydraulic Burst,49.6,15.9,2025
ANDINA-02,Drift / Ramp,Continuous Haulage,Power Transmission Failure,16.8,86.6,2024
TITAN-01,Drift / Ramp,Mine Fan,Bearing Seizure,6.9,18.3,2025
ANDINA-02,Pump Station,Drill Jumbo,Hydraulic Burst,5.9,62.0,2023
SUR-03,Drift / Ramp,Slurry Pump,Bearing Seizure,24.7,6.2,2024
SUR-03,Stope Production Face,Continuous Haulage,Power Transmission Failure,28.7,8.9,2025
TITAN-01,Pump Station,Mine Fan,Bearing Seizure,49.5,18.2,2024
