equipment_type,part_category,lead_time,lead_time_variability,supplier_count,supplier_reliability,supplier_dependency,stock_level,safety_stock,reorder_point,demand_rate,demand_variability,failure_rate,MTBF,MTTR,equipment_criticality,part_criticality,transport_delay,customs_delay,historical_stockouts,historical_downtime,riesgo_stockout,downtime_esperado_horas
Jumbo de Perforación,Transmisión y Tren de Potencia,83.0,15.0,2,0.812,0.707,6,3,4,0.56,0.15,0.0383,626.3,19.3,2,2,1.9,6.0,1,44.7,0,5.0
Faja Transportadora,Transmisión y Tren de Potencia,135.0,18.5,3,0.753,0.803,6,2,13,3.53,1.0,0.0675,355.4,15.0,3,2,1.4,6.0,0,0.0,1,83.1
Shovel / Pala,Hidráulica de Alta Presión,173.8,46.2,2,0.948,0.793,7,2,11,2.27,0.88,0.0175,1374.7,9.7,3,3,1.7,2.7,1,47.8,1,71.7
Bomba de Desagüe Multietapa,Electrónica y Control ECM,71.6,11.5,2,0.703,0.739,3,3,4,0.32,0.07,0.0311,771.8,13.1,3,3,3.0,7.1,1,52.3,0,3.2
Scooptram (LHD),Transmisión y Tren de Potencia,200.3,42.9,2,0.65,0.771,8,2,22,4.28,1.71,0.0664,361.2,14.7,2,2,9.7,1.6,2,73.1,1,51.1
Scooptram (LHD),Desagüe y Bombeo de Relaves,105.2,23.4,2,0.908,0.871,3,2,9,3.04,0.62,0.09,266.7,22.2,2,3,2.2,31.7,2,116.2,1,67.6
Scooptram (LHD),Hidráulica de Alta Presión,78.2,17.1,1,0.678,1.0,4,0,7,4.09,1.39,0.0092,1800.0,18.1,2,3,7.6,1.9,1,37.2,1,36.7
Perforadora Long Hole,Electrónica y Control ECM,143.4,35.8,3,0.818,0.743,4,1,7,1.92,0.7,0.0706,340.1,13.8,2,3,0.4,11.1,1,71.5,1,76.5
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,94.1,10.1,1,0.689,1.0,6,1,9,3.87,1.16,0.0452,531.0,9.6,3,3,15.3,1.0,1,38.8,0,1.2
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,106.9,37.1,2,0.963,0.72,5,1,8,2.77,0.64,0.0693,346.5,29.2,3,3,3.6,13.5,1,18.2,1,79.0
Scooptram (LHD),Perforación y Rotación,95.5,26.6,2,0.909,0.664,4,2,7,2.37,1.13,0.0279,860.1,15.8,2,2,0.7,43.1,2,61.9,0,4.2
